Data;Classificacao;Descricao;Meio;Valor
20/01/2018;2.2.5 Hortifrut;cogumelo;DINHEIRO;12
20/01/2018;2.2.6 Laticínios;tempero e leite;DINHEIRO;3,4
20/01/2018;2.2.5 Hortifrut;batata;DINHEIRO;31,5
20/01/2018;2.2.8 Bebidas;suco;DINHEIRO;12,9
20/01/2018;2.9 Marketing;marketing face;DINHEIRO;5,9
21/01/2018;2.2.8 Bebidas;agua;DINHEIRO;7,44
21/01/2018;2.2.5 Hortifrut;tomate;DINHEIRO;2
24/01/2018;2.2.1 Carne;temperos e carne;DINHEIRO;43,02
24/01/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;102,31
24/01/2018;2.3.4 Outros Descartaveis;produtos de limpeza;DINHEIRO;22,83
24/01/2018;2.2.8 Bebidas;chopp;DINHEIRO;90
23/01/2018;2.8.1 Ambiente e Manutencao;tinta, lampadas e dupla face p/ reforma;DINHEIRO;85
23/01/2018;2.8.1 Ambiente e Manutencao;bandeja,fita crepe, pincel e corrente para reforma;DINHEIRO;27,3
23/01/2018;2.8.1 Ambiente e Manutencao;toalhas novas para mesas;DINHEIRO;55,8
24/01/2018;2.2.2 Pao;paes para cozinha;DINHEIRO;8
24/01/2018;2.4.1 Combustível;gazolina;DINHEIRO;20
25/01/2018;2.2.5 Hortifrut;batata;DINHEIRO;21
25/01/2018;2.9 Marketing;marketing face;DINHEIRO;25,8
26/01/2018;2.3.4 Outros Descartaveis;papel toalha;DINHEIRO;2,35
26/01/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;40,37
26/01/2018;2.2.2 Pao;paes e mussarela;DINHEIRO;16
26/01/2018;2.2.8 Bebidas;HIDROMEL;DINHEIRO;240
27/01/2018;2.8.1 Ambiente e Manutencao;interruptor;DINHEIRO;10,5
27/01/2018;2.2.1 Carne;carne e paes;DINHEIRO;58
28/01/2018;2.8.1 Ambiente e Manutencao;trofeus do war;DINHEIRO;55
28/01/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;144,72
28/01/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;88,28
28/01/2018;2.9 Marketing;marketing face;DINHEIRO;24,4
31/01/2018;2.2.2 Pao;mussarela e paes;DINHEIRO;15,8
31/01/2018;2.8.2 Tarifas Bancarias;Taxa de Cartao;DINHEIRO;71,38
01/02/2018;2.2.8 Bebidas;chopp;DINHEIRO;90
01/02/2018;2.5 Compra de Jogos;boss monster;DINHEIRO;90
01/02/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;21,5
01/02/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;32,22
01/02/2018;2.3.4 Outros Descartaveis;saco de lixo;DINHEIRO;8,65
01/02/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;60,35
